Allele Type	AMR Markers	Collection Date	Originating Country	Patient Age	Patient Gender	Beta-Lactamase	Isolate Classification(s)	MICs Determined By	Azithromycin	Cefixime	Ceftriaxone	Ciprofloxacin	Erythromycin	Penicillin	Spectinomycin	Tetracycline	Additional Epidemiological Data	Curator Comments
67	Wild Type		USA		U	Unknown												
68	A39T		USA		U	Unknown												
69	Wild Type		USA		U	Unknown												
70	-35A Del,G45D		USA		U	Unknown												
71	A39T		USA		U	Unknown												
72	Wild Type		USA		U	Unknown												Two nucleotide insert -CC- at position 637.
73	A39T		USA		U	Unknown												
74	Wild Type		USA		U	Unknown												
75	Wild Type		USA		U	Unknown												
76	A39T		USA		U	Unknown												
77	A39T		USA		U	Unknown												
78	A39T		USA		U	Unknown												
79	-35A Del		USA		U	Unknown												
80	Wild Type		USA		U	Unknown												
81	Wild Type				U	Unknown												
82	A39T				U	Unknown												
83	A39T				U	Unknown												
84	A39T				U	Unknown												
85	A39T				U	Unknown												
86	Wild Type				U	Unknown												
87	A39T				U	Unknown												
88	Wild Type																	
89	A39T																	
90	Wild Type																	
91	Wild Type																	
92	A39T																	
93	A39T																	
94	Wild Type																	
95	-35A Del,A39T																	
96	A39T																	
97	A39T																	
98	Wild Type																	
99	A39T																	
101	A39T																	
102	Wild Type																	
103	Wild Type																	
104	Wild Type																	
105	A39T,G45D																	
106	Wild Type																	
107	A39T																	
108	Wild Type																	
109	Wild Type																	
110	-35A Del,A39T																	
111	-35A Del																	
112	A39T																	
113	-35A Del																	
114	Wild Type																	
115	A39T																	
116	A39T																	
117	Disrupted WHO-P-like promoter				U	Unknown												
118	-35A Del																	
119	Wild Type																	
120	G45D																	
121	Wild Type																	
122	A39T																	
123	A39T																	
124	A39T																	
125	A39T																	
126	A39T																	
127	Wild Type																	
128	A39T																	
129	Wild Type																	
130	A39T																	
131	A39T																	
132	-35A Del; G45D				U	Unknown												
133	A39T																	
134	Wild Type																	
135	A39T																	
136	Wild Type																	
137	Wild Type																	
138	Wild Type																	
139	Wild Type																	
140	A39T																	
141	A39T																	
142	Wild Type																	
143	Wild Type																	
144	A39T; Disrupted WHO like promoter				U	Unknown												
145	Wild Type																	
146	Wild Type																	
147	-35A Del																	
148	Wild Type																	
149	A39T																	
150	A39T																	
151	Wild Type																	
152	Wild Type																	
153	A39T																	
154	A39T																	
155	A39T; Disrupted WHO-P like promoter				U	Unknown												
156	A39T																	
157	A39T																	
158	-35A Del; G45D				U	Unknown												
159	Wild Type																	
160	Wild Type				U	Unknown												Same sequence as mtrR5, but with TAG stop codon instead of TAA
161	Wild Type				U	Unknown												Same sequence as mtrR18, but with TAG stop codon instead of TAA
162	Wild Type	2018-01-18	Sweden		U	Unknown												
163	A39T	2018-01-23	Sweden		U	Unknown												
164	A39T	2018-01-23	Sweden		U	Unknown												
165	Disrupted WHO-P like promoter	2018-01-23	Sweden		U	Unknown												
166	A39T	2018-03-01	Sweden		U	Unknown												
167	A39T	2018-03-01	Sweden		U	Unknown												
168	Wild Type	2018-03-01	Sweden		U	Unknown												
169	Wild Type	2018-03-01	Sweden		U	Unknown												
170	Disrupted WHO-P like promoter	2018-03-01	Sweden		U	Unknown												
171	Wild Type	2018-03-01	Sweden		U	Unknown												
172	-35A Del	2018-03-01	Sweden		U	Unknown												
173	Wild Type	2018-03-01	Sweden		U	Unknown												
174	A39T	2018-03-01	Sweden		U	Unknown												
175	Wild Type	2018-03-01	Sweden		U	Unknown												
176	A39T	2018-03-01	Sweden		U	Unknown												
177	-35A Del	2018-03-01	Sweden		U	Unknown												
178	A39T	2018-03-21	Sweden		U	Unknown												
